time,State,Predicted Altitude,Predicted Vertical Velocity,Predicted Vertical Acceleration,Predicted Angle to Horizontal,Measured Altitude,Measured Pressure,Measured Temperature,Measured Acceleration x,Measured Acceleration y,Measured Acceleration z,Measured Rotation x,Measured Rotation y,Measured Rotation z,Measured Gravity x,Measured Gravity y,Measured Gravity z,Measured Orientation real part,Measured Orientation i part,Measured Orientation j part,Measured Orientation k part,Measured Angle to Horizontal,Controller error,Flight path,Flght path velocity partial derivative,Flght path angle partial derivative,Update rule drag area,Adjusted drag area,Requested drag area,Current drag area,Update rule shutdown,Controller saturation,Controller fault
102257,coast,738.627869,35.654121,-11.126061,1.094547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.143066,734.863586,-3.255485,-3.948882,0.005105,0.005105,0.005105,0.002500,false,false,false
102358,coast,739.075317,35.514927,-11.113508,1.093142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117981,738.509888,-3.181876,-3.624316,0.005016,0.005016,0.005016,0.002500,false,false,false
102458,coast,743.851196,33.993954,-11.013080,1.077135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.112549,738.962769,-3.172757,-3.584358,0.004995,0.004995,0.004995,0.002500,false,false,false
102558,coast,747.608643,32.760189,-10.916306,1.063225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080994,745.456238,-3.030286,-3.126227,0.004832,0.004832,0.004832,0.002500,false,false,false
102658,coast,752.007751,31.266508,-10.801652,1.045146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058350,750.372620,-2.912632,-2.706658,0.004704,0.004704,0.004704,0.002500,false,false,false
102758,coast,754.708191,30.323837,-10.729912,1.032974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023560,753.534058,-2.834019,-2.493450,0.004488,0.004488,0.004488,0.002500,false,false,false
102858,coast,755.080505,30.190081,-10.722675,1.031193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019226,755.061279,-2.793870,-2.387396,0.004434,0.004434,0.004434,0.002500,false,false,false
102958,coast,760.559326,28.193001,-10.583489,1.003029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032898,756.916077,-2.742476,-2.242823,0.004472,0.004472,0.004472,0.002500,false,false,false
103058,coast,763.658386,27.005411,-10.531811,0.984769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014465,760.573792,-2.641783,-1.971268,0.004104,0.004104,0.004104,0.002500,false,false,false
103158,coast,765.328186,26.350153,-10.459318,0.974141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013916,763.644470,-2.545822,-1.798260,0.004197,0.004197,0.004197,0.002500,false,false,false
103258,coast,767.911011,25.305922,-10.425447,0.956383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.021606,767.613037,-2.418302,-1.578019,0.003811,0.003811,0.003811,0.002500,false,false,false
103357,coast,771.289734,23.876564,-10.367228,0.930337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005859,768.856018,-2.374726,-1.503963,0.003878,0.003878,0.003878,0.002500,false,false,false
103458,coast,773.625793,22.844774,-10.298355,0.910117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.053467,772.236938,-2.255904,-1.272298,0.003302,0.003302,0.003302,0.002500,false,false,false
103558,coast,774.755188,22.332212,-10.229970,0.899579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.016968,774.772156,-2.157679,-1.117340,0.003424,0.003424,0.003424,0.002500,false,false,false
103658,coast,775.859009,21.821108,-10.214060,0.888742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013916,775.049927,-2.146994,-1.100107,0.003421,0.003421,0.003421,0.002500,false,false,false
103758,coast,779.776794,19.910025,-10.166158,0.845276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.043274,778.294983,-2.016273,-0.899100,0.002709,0.002709,0.002709,0.002500,false,false,false
103858,coast,780.995789,19.275372,-10.147987,0.829731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.058777,781.054565,-1.892311,-0.743423,0.002122,0.002122,0.002500,0.002500,false,true,false
103958,coast,783.102661,18.140085,-10.059077,0.800310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.072571,782.721680,-1.812520,-0.660052,0.001618,0.001618,0.002500,0.002500,false,true,false
104058,coast,784.866455,17.135256,-10.037631,0.772524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.049744,783.823303,-1.755377,-0.609538,0.001736,0.001736,0.002500,0.002500,false,true,false
104158,coast,786.325073,16.257799,-10.019743,0.746877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059387,784.925842,-1.698017,-0.563713,0.001285,0.001285,0.002500,0.002500,false,true,false
104258,coast,787.323975,15.631906,-10.007452,0.727757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.081970,787.015198,-1.582191,-0.488084,0.000100,0.000100,0.002500,0.002500,false,true,false
104358,coast,787.323975,15.631906,-10.007452,0.727757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.074524,787.398499,-1.558941,-0.466084,0.000114,0.000114,0.002500,0.002500,false,true,false
104458,coast,790.919678,13.135825,-9.962211,0.644160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.109619,790.862000,-1.335443,-0.304523,-0.002969,-0.002969,0.002500,0.002500,false,true,false
104558,coast,792.629395,11.767613,-9.939862,0.593011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.125000,792.004944,-1.252516,-0.255198,-0.004800,-0.004800,0.002500,0.002500,false,true,false
104658,coast,793.756470,10.774392,-9.924664,0.553382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.164673,793.370056,-1.144593,-0.201643,-0.008791,-0.008791,0.002500,0.002500,false,true,false
104758,coast,794.282837,10.278342,-9.917382,0.532785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.163330,794.446167,-1.047174,-0.168696,-0.011407,-0.011407,0.002500,0.002500,false,true,false
104858,coast,795.713074,8.792302,-9.896730,0.467846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.236877,795.497925,-0.950158,-0.133278,-0.020694,-0.020694,0.002500,0.002500,false,true,false
104958,coast,796.245605,8.173981,-9.888625,0.439400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.197815,796.338074,-0.851410,-0.105588,-0.023119,-0.023119,0.002500,0.002500,false,true,false
105058,coast,796.449951,7.926764,-9.885458,0.427795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.203186,796.653137,-0.814258,-0.097170,-0.026244,-0.026244,0.002500,0.002500,false,true,false
105158,coast,797.193176,6.938838,-9.873215,0.380122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.237732,797.071655,-0.765202,-0.080584,-0.034664,-0.034664,0.002500,0.002500,false,true,false
105258,coast,797.602173,6.322058,-9.865883,0.349337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.269531,797.543274,-0.703377,-0.063885,-0.046588,-0.046588,0.002500,0.002500,false,true,false
105358,coast,798.253357,5.212836,-9.853235,0.292111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.243164,797.845337,-0.652921,-0.059723,-0.049873,-0.049873,0.002500,0.002500,false,true,false
105458,coast,798.439636,4.843442,-9.849163,0.272554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.288879,798.672546,-0.515440,-0.034673,-0.095006,-0.095006,0.002500,0.002500,false,true,false
105558,coast,798.831055,3.981989,-9.839906,0.226068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.301636,798.921265,-0.465131,-0.027238,-0.121644,-0.121644,0.002500,0.002500,false,true,false
105658,coast,799.248901,2.752834,-9.827190,0.157876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.275513,799.330872,-0.350133,-0.027464,-0.196122,-0.196122,0.002500,0.002500,false,true,false
105758,coast,799.632324,-0.068426,-9.799334,-0.003968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.292847,799.825134,-0.195794,-0.010417,-1.396641,-1.396641,0.002500,0.002500,false,true,false
105858,recovery,799.576477,-1.047883,-9.789798,-0.060756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
105958,recovery,799.564941,-1.170270,-9.788604,-0.067839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
106058,recovery,799.494263,-1.659580,-9.783809,-0.096102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
106158,recovery,799.008850,-3.492312,-9.765453,-0.200499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
106258,recovery,798.773743,-4.102479,-9.759136,-0.234491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
106358,recovery,798.314758,-5.077878,-9.748745,-0.287764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
106458,recovery,797.522217,-6.417283,-9.733763,-0.358399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
106558,recovery,797.189148,-6.903830,-9.728085,-0.383248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
106658,recovery,796.353149,-7.997525,-9.714798,-0.437401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
106758,recovery,794.807983,-9.695742,-9.692581,-0.516543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
106858,recovery,794.807983,-9.695742,-9.692581,-0.516543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
106958,recovery,793.517395,-10.906211,-9.675430,-0.569165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
107058,recovery,791.300232,-12.717745,-9.647522,-0.642027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
107158,recovery,790.488831,-13.320443,-9.637605,-0.664738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
107258,recovery,789.284241,-14.163069,-9.623191,-0.695251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
107358,recovery,787.819702,-15.124530,-9.605935,-0.728356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
107458,recovery,786.259277,-16.084223,-9.587832,-0.759654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
107558,recovery,784.602966,-17.042065,-9.568871,-0.789234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
107658,recovery,781.939148,-18.475157,-9.538788,-0.830582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
107758,recovery,780.043945,-19.427986,-9.517629,-0.856266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
107858,recovery,779.313904,-19.784861,-9.509462,-0.865533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
107958,recovery,777.800354,-20.497379,-9.492763,-0.883490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
108057,recovery,773.788269,-22.273146,-9.448813,-0.925250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.367676,800.000000,0.020000,0.344860,-1.396641,-1.396641,0.002500,0.002500,true,true,false
